Time;Concentration
2.2187585569978382E7;1.373798317963E-11
2.2287585569978382E7;1.555583219675631E-11
2.2387585569978382E7;1.759516139457683E-11
2.2487585569978382E7;1.9880573942436474E-11
2.2587585569978382E7;2.2439132729284128E-11
2.2687585569978382E7;2.530057771772587E-11
2.2787585569978382E7;2.84975598211551E-11
2.2887585569978382E7;3.206589233673142E-11
2.2987585569978382E7;3.60448210153977E-11
2.3087585569978382E7;4.0477313899820336E-11
2.3187585569978382E7;4.541037211209369E-11
2.3287585569978382E7;5.089536282524414E-11
2.3387585569978382E7;5.698837570597808E-11
2.3487585569978382E7;6.37506041707147E-11
2.3587585569978382E7;7.124875285269759E-11
2.3687585569978382E7;7.95554727348565E-11
2.3787585569978382E7;8.874982546105618E-11
2.3887585569978382E7;9.891777839738331E-11
2.3987585569978382E7;1.1015273207514344E-10
2.4087585569978382E7;1.2255608170822392E-10
2.4187585569978382E7;1.3623781453937538E-10
2.4287585569978382E7;1.5131714483272725E-10
2.4387585569978382E7;1.6792318839342422E-10
2.4487585569978382E7;1.8619567855959731E-10
2.4587585569978382E7;2.062857256769072E-10
2.4687585569978382E7;2.283566221315534E-10
2.4787585569978382E7;2.5258469508387306E-10
2.4887585569978382E7;2.791602091113857E-10
2.4987585569978382E7;3.0828832103731053E-10
2.5087585569978382E7;3.401900892881184E-10
2.5187585569978382E7;3.7510354019150945E-10
2.5287585569978382E7;4.132847936942527E-10
2.5387585569978382E7;4.550092510475142E-10
2.5487585569978382E7;5.005728470755482E-10
2.5587585569978382E7;5.502933697118585E-10
2.5687585569978382E7;6.04511849555076E-10
2.5787585569978382E7;6.635940222647395E-10
2.5887585569978382E7;7.279318666848621E-10
2.5987585569978382E7;7.979452216504866E-10
2.6087585569978382E7;8.740834844993346E-10
2.6187585569978382E7;9.568273943770062E-10
2.6287585569978382E7;1.0466909034899514E-9
2.6387585569978382E7;1.1442231395254667E-9
2.6487585569978382E7;1.2500104625222303E-9
2.6587585569978382E7;1.3646786195382512E-9
2.6687585569978382E7;1.4888950005255103E-9
2.6787585569978382E7;1.623370998881895E-9
2.6887585569978382E7;1.768864480211219E-9
2.6987585569978382E7;1.926182362881047E-9
2.7087585569978382E7;2.0961833140256603E-9
2.7187585569978382E7;2.2797805646976817E-9
2.7287585569978382E7;2.47794484792656E-9
2.7387585569978382E7;2.6917074634952052E-9
2.7487585569978382E7;2.9221634732974737E-9
2.7587585569978382E7;3.170475031188836E-9
2.7687585569978382E7;3.437874851290376E-9
2.7787585569978382E7;3.725669818752123E-9
2.7887585569978382E7;4.035244747025574E-9
2.7987585569978382E7;4.3680662857370466E-9
2.8087585569978382E7;4.725686983293084E-9
2.8187585569978382E7;5.1097495083865265E-9
2.8287585569978382E7;5.521991034606875E-9
2.8387585569978382E7;5.964247792391263E-9
2.8487585569978382E7;6.438459792582564E-9
2.8587585569978382E7;6.946675725888831E-9
2.8687585569978382E7;7.491058042563375E-9
2.8787585569978382E7;8.073888216647292E-9
2.8887585569978382E7;8.697572199135936E-9
2.8987585569978382E7;9.364646064447883E-9
2.9087585569978382E7;1.007778185458911E-8
2.9187585569978382E7;1.0839793625416408E-8
2.9287585569978382E7;1.1653643699412472E-8
2.9387585569978382E7;1.2522449129390578E-8
2.9487585569978382E7;1.3449488377549185E-8
2.9587585569978382E7;1.4438208214296214E-8
2.9687585569978382E7;1.5492230841259152E-8
2.9787585569978382E7;1.66153612428903E-8
2.9887585569978382E7;1.7811594771066682E-8
2.9987585569978382E7;1.9085124967070974E-8
3.0087585569978382E7;2.04403516253237E-8
3.0187585569978382E7;2.18818891032174E-8
3.0287585569978382E7;2.341457488138098E-8
3.0387585569978382E7;2.5043478378676364E-8
3.0487585569978382E7;2.6773910026200684E-8
3.0587585569978382E7;2.861143060453477E-8
3.0687585569978382E7;3.0561860848443046E-8
3.0787585569978382E7;3.2631291323191304E-8
3.0887585569978382E7;3.482609257660639E-8
3.0987585569978382E7;3.715292557095698E-8
3.1087585569978382E7;3.961875239868561E-8
3.1187585569978382E7;4.223084728597066E-8
3.1287585569978382E7;4.499680788804192E-8
3.1387585569978382E7;4.792456688011534E-8
3.1487585569978382E7;5.102240384775115E-8
3.1587585569978382E7;5.42989574803752E-8
3.1687585569978382E7;5.7763238071635915E-8
3.1787585569978382E7;6.142464033019868E-8
3.1887585569978382E7;6.529295650450582E-8
3.1987585569978382E7;6.937838982495361E-8
3.2087585569978382E7;7.369156826685885E-8
3.2187585569978382E7;7.824355863750408E-8
3.2287585569978382E7;8.304588099046629E-8
3.2387585569978382E7;8.811052337034498E-8
3.2487585569978382E7;9.34499568909149E-8
3.2587585569978382E7;9.907715114963552E-8
3.2687585569978382E7;1.0500558998135239E-7
3.2787585569978382E7;1.1124928755392734E-7
3.2887585569978382E7;1.1782280480843236E-7
3.2987585569978382E7;1.2474126624643918E-7
3.3087585569978382E7;1.320203770668291E-7
3.3187585569978382E7;1.3967644065444018E-7
3.3287585569978382E7;1.4772637642275684E-7
3.3387585569978382E7;1.561877380127354E-7
3.3487585569978382E7;1.650787318497419E-7
3.3587585569978386E7;1.7441823606046275E-7
3.3687585569978386E7;1.842258197515294E-7
3.3787585569978386E7;1.9452176265147603E-7
3.3887585569978386E7;2.053270751175273E-7
3.3987585569978386E7;2.1666351850858774E-7
3.4087585569978386E7;2.2855362592567886E-7
3.4187585569978386E7;2.4102072332094004E-7
3.4287585569978386E7;2.5408895097618257E-7
3.4387585569978386E7;2.6778328535185255E-7
3.4487585569978386E7;2.8212956130712795E-7
3.4587585569978386E7;2.971544946917399E-7
3.4687585569978386E7;3.128857053099752E-7
3.4787585569978386E7;3.293517402571793E-7
3.4887585569978386E7;3.465820976289448E-7
3.4987585569978386E7;3.646072506030287E-7
3.5087585569978386E7;3.8345867189390745E-7
3.5187585569978386E7;4.0316885857973615E-7
3.5287585569978386E7;4.237713573013397E-7
3.5387585569978386E7;4.453007898327226E-7
3.5487585569978386E7;4.677928790224435E-7
3.5587585569978386E7;4.912844751050577E-7
3.5687585569978386E7;5.15813582381691E-7
3.5787585569978386E7;5.414193862686643E-7
3.5887585569978386E7;5.681422807129473E-7
3.5987585569978386E7;5.960238959730761E-7
3.6087585569978386E7;6.251071267640292E-7
3.6187585569978386E7;6.554361607644122E-7
3.6287585569978386E7;6.870565074841602E-7
3.6387585569978386E7;7.200150274908252E-7
3.6487585569978386E7;7.543599619923751E-7
3.6587585569978386E7;7.901409627742885E-7
3.6687585569978386E7;8.274091224885901E-7
3.6787585569978386E7;8.662170052923295E-7
3.6887585569978386E7;9.066186778328733E-7
3.6987585569978386E7;9.486697405772315E-7
3.7087585569978386E7;9.92427359482511E-7
3.7187585569978386E7;1.0379502980044499E-6
3.7287585569978386E7;1.0852989494408412E-6
3.7387585569978386E7;1.1345353696065406E-6
3.7487585569978386E7;1.1857233098365944E-6
3.7587585569978386E7;1.2389282503139099E-6
3.7687585569978386E7;1.294217433717749E-6
3.7787585569978386E7;1.3516598991892033E-6
3.7887585569978386E7;1.4113265166096714E-6
3.7987585569978386E7;1.473290021188242E-6
3.8087585569978386E7;1.5376250483537514E-6
3.8187585569978386E7;1.6044081689471686E-6
3.8287585569978386E7;1.673717924709829E-6
3.8387585569978386E7;1.745634864062927E-6
3.8487585569978386E7;1.8202415781735526E-6
3.8587585569978386E7;1.8976227373024378E-6
3.8687585569978386E7;1.977865127428474E-6
3.8787585569978386E7;2.0610576871449316E-6
3.8887585569978386E7;2.147291544822215E-6
3.8987585569978386E7;2.2366600560318773E-6
3.9087585569978386E7;2.329258841226492E-6
3.9187585569978386E7;2.4251858236698993E-6
3.9287585569978386E7;2.524541267612227E-6
3.9387585569978386E7;2.6274278167039836E-6
3.9487585569978386E7;2.733950532643427E-6
3.9587585569978386E7;2.8442169340513163E-6
3.9687585569978386E7;2.9583370355670495E-6
3.9787585569978386E7;3.076423387160122E-6
3.9887585569978386E7;3.1985911136507106E-6
3.9987585569978386E7;3.324957954433145E-6
4.0087585569978386E7;3.4556443033959086E-6
4.0187585569978386E7;3.590773249031749E-6
4.0287585569978386E7;3.730470614731386E-6
4.0387585569978386E7;3.874864999254233E-6
4.0487585569978386E7;4.024087817369474E-6
4.0587585569978386E7;4.178273340660758E-6
4.0687585569978386E7;4.33755873848771E-6
4.0787585569978386E7;4.5020841190973785E-6
4.0887585569978386E7;4.671992570878698E-6
4.0987585569978386E7;4.847430203752956E-6
4.1087585569978386E7;5.0285461906932095E-6
4.1187585569978386E7;5.215492809365513E-6
4.1287585569978386E7;5.408425483884833E-6
4.1387585569978386E7;5.607502826678369E-6
4.1487585569978386E7;5.812886680449054E-6
4.1587585569978386E7;6.024742160231871E-6
4.1687585569978386E7;6.243237695535659E-6
4.1787585569978386E7;6.468545072562985E-6
4.1887585569978386E7;6.700839476500613E-6
4.1987585569978386E7;6.940299533873135E-6
4.2087585569978386E7;7.1871073549522E-6
4.2187585569978386E7;7.441448576213827E-6
4.2287585569978386E7;7.703512402836203E-6
4.2387585569978386E7;7.97349165123037E-6
4.2487585569978386E7;8.251582791596186E-6
4.2587585569978386E7;8.537985990495896E-6
4.2687585569978386E7;8.832905153437648E-6
4.2787585569978386E7;9.136547967461291E-6
4.2887585569978386E7;9.44912594371873E-6
4.2987585569978386E7;9.770854460041177E-6
4.3087585569978386E7;1.0101952803485531E-5
4.3187585569978386E7;1.044264421285221E-5
4.3287585569978386E7;1.0793155921166686E-5
4.3387585569978386E7;1.1153719198117022E-5
4.3487585569978386E7;1.1524569392439675E-5
4.3587585569978386E7;1.1905945974245853E-5
4.3687585569978386E7;1.2298092577280709E-5
4.3787585569978386E7;1.2701257041107675E-5
4.3887585569978386E7;1.3115691453210253E-5
4.3987585569978386E7;1.3541652191003581E-5
4.4087585569978386E7;1.3979399963748105E-5
4.4187585569978386E7;1.4429199854357713E-5
4.4287585569978386E7;1.4891321361094736E-5
4.4387585569978386E7;1.5366038439144193E-5
4.4487585569978386E7;1.5853629542059717E-5
4.4587585569978386E7;1.6354377663073574E-5
4.4687585569978386E7;1.686857037626334E-5
4.4787585569978386E7;1.739649987756767E-5
4.4887585569978386E7;1.7938463025643783E-5
4.4987585569978386E7;1.8494761382559115E-5
4.5087585569978386E7;1.906570125430994E-5
4.5187585569978386E7;1.965159373115944E-5
4.5287585569978386E7;2.0252754727788114E-5
4.5387585569978386E7;2.0869505023249043E-5
4.5487585569978386E7;2.1502170300721033E-5
4.5587585569978386E7;2.2151081187052285E-5
4.5687585569978386E7;2.2816573292087603E-5
4.5787585569978386E7;2.3498987247772032E-5
4.5887585569978386E7;2.4198668747023884E-5
4.5987585569978386E7;2.4915968582370255E-5
4.6087585569978386E7;2.5651242684338092E-5
4.6187585569978386E7;2.640485215959398E-5
4.6287585569978386E7;2.717716332882588E-5
4.6387585569978386E7;2.7968547764360062E-5
4.6487585569978386E7;2.8779382327506595E-5
4.6587585569978386E7;2.9610049205626816E-5
4.6687585569978386E7;3.046093594891617E-5
4.6787585569978386E7;3.1332435506896094E-5
4.6887585569978386E7;3.2224946264608386E-5
4.6987585569978386E7;3.313887207850583E-5
4.7087585569978386E7;3.40746223120329E-5
4.7187585569978386E7;3.5032611870890054E-5
4.7287585569978386E7;3.6013261237975956E-5
4.7387585569978386E7;3.7016996508001156E-5
4.7487585569978386E7;3.804424942176757E-5
4.7587585569978386E7;3.9095457400107716E-5
4.7687585569978386E7;4.0171063577477964E-5
4.7787585569978386E7;4.127151683520008E-5
4.7887585569978386E7;4.2397271834345365E-5
4.7987585569978386E7;4.354878904825582E-5
4.8087585569978386E7;4.472653479469702E-5
4.8187585569978386E7;4.5930981267636986E-5
4.8287585569978386E7;4.716260656864609E-5
4.8387585569978386E7;4.8421894737912405E-5
4.8487585569978386E7;4.9709335784867706E-5
4.8587585569978386E7;5.102542571841872E-5
4.8687585569978386E7;5.2370666576779E-5
4.8787585569978386E7;5.374556645689616E-5
4.8887585569978386E7;5.5150639543469987E-5
4.8987585569978386E7;5.65864061375566E-5
4.9087585569978386E7;5.805339268475394E-5
4.9187585569978386E7;5.955213180296426E-5
4.9287585569978386E7;6.108316230972901E-5
4.9387585569978386E7;6.264702924913177E-5
4.9487585569978386E7;6.424428391826522E-5
4.9587585569978386E7;6.587548389325752E-5
4.9687585569978386E7;6.754119305485451E-5
4.9787585569978386E7;6.924198161355347E-5
4.9887585569978386E7;7.097842613428461E-5
4.9987585569978386E7;7.275110956063638E-5
5.0087585569978386E7;7.456062123862135E-5
5.0187585569978386E7;7.640755693997834E-5
5.0287585569978386E7;7.829251888500784E-5
5.0387585569978386E7;8.021611576493729E-5
5.0487585569978386E7;8.217896276381236E-5
5.0587585569978386E7;8.418168157991179E-5
5.0687585569978386E7;8.62249004466818E-5
5.0787585569978386E7;8.830925415318786E-5
5.0887585569978386E7;9.04353840640803E-5
5.0987585569978386E7;9.260393813907102E-5
5.1087585569978386E7;9.481557095191867E-5
5.1187585569978386E7;9.707094370891965E-5
5.1287585569978386E7;9.937072426690209E-5
5.1387585569978386E7;1.017155871507208E-4
5.1487585569978386E7;1.0410621357025016E-4
5.1587585569978386E7;1.0654329143687337E-4
5.1687585569978386E7;1.0902751537946543E-4
5.1787585569978386E7;1.115595867598677E-4
5.1887585569978386E7;1.1414021368785235E-4
5.1987585569978386E7;1.1677011103557466E-4
5.2087585569978386E7;1.1945000045151109E-4
5.2187585569978386E7;1.2218061037388178E-4
5.2287585569978386E7;1.249626760435556E-4
5.2387585569978386E7;1.2779693951643642E-4
5.2487585569978386E7;1.3068414967532872E-4
5.2587585569978386E7;1.3362506224128166E-4
5.2687585569978386E7;1.3662043978441023E-4
5.2787585569978386E7;1.396710517341919E-4
5.2887585569978386E7;1.4277767438923827E-4
5.2987585569978386E7;1.4594109092654024E-4
5.3087585569978386E7;1.4916209141018616E-4
5.3187585569978386E7;1.5244147279955177E-4
5.3287585569978386E7;1.5578003895696144E-4
5.3387585569978386E7;1.5917860065481996E-4
5.3487585569978386E7;1.6263797558221458E-4
5.3587585569978386E7;1.6615898835098617E-4
5.3687585569978386E7;1.6974247050126982E-4
5.3787585569978386E7;1.7338926050650436E-4
5.3887585569978386E7;1.771002037779101E-4
5.3987585569978386E7;1.8087615266843544E-4
5.4087585569978386E7;1.8471796647617178E-4
5.4187585569978386E7;1.8862651144723673E-4
5.4287585569978386E7;1.92602660778126E-4
5.4387585569978386E7;1.966472946175342E-4
5.4487585569978386E7;2.0076130006764416E-4
5.4587585569978386E7;2.0494557118488606E-4
5.4687585569978386E7;2.0920100898016625E-4
5.4787585569978386E7;2.135285214185663E-4
5.4887585569978386E7;2.1792902341851266E-4
5.4987585569978386E7;2.2240343685041828E-4
5.5087585569978386E7;2.2695269053479638E-4
5.5187585569978386E7;2.3157772023984713E-4
5.5287585569978386E7;2.3627946867851821E-4
5.5387585569978386E7;2.4105888550504076E-4
5.5487585569978386E7;2.459169273109407E-4
5.5587585569978386E7;2.5085455762052756E-4
5.5687585569978386E7;2.5587274688586086E-4
5.5787585569978386E7;2.6097247248119706E-4
5.5887585569978386E7;2.6615471869691616E-4
5.5987585569978386E7;2.714204767329308E-4
5.6087585569978386E7;2.7677074469157953E-4
5.6187585569978386E7;2.822065275700043E-4
5.6287585569978386E7;2.877288372520153E-4
5.6387585569978386E7;2.933386924994438E-4
5.6487585569978386E7;2.9903711894298517E-4
5.6587585569978386E7;3.0482514907253383E-4
5.6687585569978386E7;3.107038222270114E-4
5.6787585569978386E7;3.166741845836913E-4
5.6887585569978386E7;3.2273728914701967E-4
5.6987585569978386E7;3.288941957369368E-4
5.7087585569978386E7;3.351459709767001E-4
5.7187585569978386E7;3.414936882802098E-4
5.7287585569978386E7;3.479384278388421E-4
5.7387585569978386E7;3.5448127660778927E-4
5.7487585569978386E7;3.611233282919111E-4
5.7587585569978386E7;3.678656833310984E-4
5.7687585569978386E7;3.747094488851525E-4
5.7787585569978386E7;3.8165573881818193E-4
5.7887585569978386E7;3.8870567368251975E-4
5.7987585569978386E7;3.958603807021635E-4
5.8087585569978386E7;4.0312099375574027E-4
5.8187585569978386E7;4.104886533590005E-4
5.8287585569978386E7;4.179645066468424E-4
5.8387585569978386E7;4.255497073548694E-4
5.8487585569978386E7;4.332454158004844E-4
5.8587585569978386E7;4.410527988635235E-4
5.8687585569978386E7;4.4897302996643127E-4
5.8787585569978386E7;4.570072890539817E-4
5.8887585569978386E7;4.651567625725464E-4
5.8987585569978386E7;4.734226434489149E-4
5.9087585569978386E7;4.818061310686682E-4
5.9187585569978386E7;4.903084312541099E-4
5.9287585569978386E7;4.989307562417577E-4
5.9387585569978386E7;5.076743246593986E-4
5.9487585569978386E7;5.165403615027111E-4
5.9587585569978386E7;5.255300981114565E-4
5.9687585569978386E7;5.346447721452445E-4
5.9787585569978386E7;5.438856275588751E-4
5.9887585569978386E7;5.532539145772608E-4
5.9987585569978386E7;5.627508896699316E-4
6.0087585569978386E7;5.723778155251274E-4
6.0187585569978386E7;5.821359610234812E-4
6.0287585569978386E7;5.920266012112943E-4
6.0387585569978386E7;6.020510172734111E-4
6.0487585569978386E7;6.122104965056928E-4
6.0587585569978386E7;6.225063322870965E-4
6.0687585569978386E7;6.329398240513631E-4
6.0787585569978386E7;6.435122772583148E-4
